stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
3017,2016-01-04,-52000,-1013000,-1946000,-3011000,28336.0,964.0,,,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-05,-105000,313982,-1127000,-918018,28080.0,958.0,-256.0,-6.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-06,777000,724000,1977000,3478000,26634.0,1575.0,-1446.0,617.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-07,-817000,-4973018,676000,-5114018,27200.0,1119.0,566.0,-456.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-08,199000,-551000,-308000,-660000,27447.0,1142.0,247.0,23.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-11,-502000,1427046,-3366000,-2440954,27941.0,979.0,494.0,-163.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-12,912000,932000,213000,2057000,26303.0,1291.0,-1638.0,312.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-13,-869000,-723414,22000,-1570414,26823.0,1135.0,520.0,-156.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-14,-101000,-1485000,-188000,-1774000,26258.0,929.0,-565.0,-206.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-15,-128000,505329,148000,525329,25274.0,885.0,-984.0,-44.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-18,-44000,546000,-2090000,-1588000,25602.0,768.0,328.0,-117.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-19,739000,77586,409000,1225586,25884.0,948.0,282.0,180.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-20,-263000,-600000,398000,-465000,25478.0,1180.0,-406.0,232.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-21,-272000,-573000,33000,-812000,25570.0,1054.0,92.0,-126.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-22,-63000,1368917,180000,1485917,25163.0,1119.0,-407.0,65.0,,2026-07-24T11:49:04.559686+08:00
3017,2016-01-25,718000,-125077,230000,822923,24763.0,1213.0,-400.0,94.0,,2026-07-24T11:49:04.559686+08:00
