stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
2344,2016-01-04,-744000,-3191000,0,-3935000,69564.0,1303.0,,,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-05,-172000,-1735000,-650000,-2557000,68101.0,1194.0,-1463.0,-109.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-06,-312000,-3075000,0,-3387000,68120.0,1072.0,19.0,-122.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-07,-269000,-350000,0,-619000,67367.0,1093.0,-753.0,21.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-08,64000,281000,0,345000,67197.0,1009.0,-170.0,-84.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-11,15000,-916000,0,-901000,67059.0,946.0,-138.0,-63.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-12,-174000,709000,0,535000,66699.0,927.0,-360.0,-19.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-13,-11000,-740000,0,-751000,65934.0,819.0,-765.0,-108.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-14,-163000,2165000,0,2002000,65005.0,849.0,-929.0,30.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-15,-557000,823961,-2000,264961,65236.0,821.0,231.0,-28.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-18,42000,1939000,0,1981000,65256.0,846.0,20.0,25.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-19,907000,18997000,-6000,19898000,60242.0,1125.0,-5014.0,279.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-20,-620000,10508000,-2000,9886000,56916.0,1365.0,-3326.0,240.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-21,30000,10270039,0,10300039,54886.0,1586.0,-2030.0,221.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-22,-134000,10098000,0,9964000,54778.0,2100.0,-108.0,514.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-25,85000,12299000,0,12384000,52039.0,2432.0,-2739.0,332.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-26,23000,8376000,0,8399000,51259.0,2649.0,-780.0,217.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-27,394000,9118013,0,9512013,51303.0,2633.0,44.0,-16.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-28,1345000,15372000,0,16717000,48741.0,3122.0,-2562.0,489.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-29,462000,9247000,203000,9912000,47081.0,3298.0,-1660.0,176.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-01-30,-218000,10000,3000,-205000,48182.0,7529.0,1101.0,4231.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-01,-475000,10322000,81000,9928000,46243.0,6567.0,-1939.0,-962.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-02,-165000,5393776,0,5228776,44906.0,6476.0,-1337.0,-91.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-03,-1136000,9397052,0,8261052,42264.0,6413.0,-2642.0,-63.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-05,-465616,883001,-200000,217385,,,,,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-15,2423000,5598000,-4264,8016736,44759.0,6709.0,,,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-16,56000,-6616000,0,-6560000,48202.0,6115.0,3443.0,-594.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-17,-877000,15327000,0,14450000,43846.0,6273.0,-4356.0,158.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-18,-379000,4062000,0,3683000,43027.0,6258.0,-819.0,-15.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-19,-59000,6752000,-4000,6689000,40336.0,6265.0,-2691.0,7.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-22,1670000,2305000,0,3975000,39477.0,6307.0,-859.0,42.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-23,-937000,2338013,0,1401013,39815.0,6204.0,338.0,-103.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-24,-274000,7865000,0,7591000,37938.0,6576.0,-1877.0,372.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-25,-63000,2041000,0,1978000,38591.0,6592.0,653.0,16.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-02-26,-524000,7275039,0,6751039,37851.0,6773.0,-740.0,181.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-01,1572000,9383000,-81000,10874000,37159.0,7145.0,-692.0,372.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-02,-1492000,1525000,-3000,30000,40941.0,5668.0,3782.0,-1477.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-03,-668000,640000,0,-28000,42567.0,5345.0,1626.0,-323.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-04,-98000,-699000,81000,-716000,44954.0,4937.0,2387.0,-408.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-07,294000,5187000,0,5481000,41884.0,6140.0,-3070.0,1203.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-08,478000,6536000,1000,7015000,42331.0,5878.0,447.0,-262.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-09,-274000,-4063000,0,-4337000,43857.0,5683.0,1526.0,-195.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-10,-89000,2298000,0,2209000,43833.0,5619.0,-24.0,-64.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-11,521000,2066000,0,2587000,43661.0,5619.0,-172.0,0.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-14,635000,1584000,0,2219000,44787.0,5610.0,1126.0,-9.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-15,-431000,-755000,-1000,-1187000,44688.0,5893.0,-99.0,283.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-16,271000,7319000,1000,7591000,44697.0,5963.0,9.0,70.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-17,291000,469000,0,760000,45153.0,5965.0,456.0,2.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-18,124000,244000,-1000,367000,44387.0,5848.0,-766.0,-117.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-21,-125000,295000,0,170000,44767.0,5520.0,380.0,-328.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-22,67000,3162013,0,3229013,43950.0,5518.0,-817.0,-2.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-23,857000,-389000,0,468000,43939.0,5507.0,-11.0,-11.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-24,-341000,-1345000,0,-1686000,44331.0,5105.0,392.0,-402.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-25,-707000,-658000,0,-1365000,44955.0,4881.0,624.0,-224.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-28,-5000,2347000,0,2342000,44068.0,4821.0,-887.0,-60.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-29,-215000,2445000,0,2230000,43160.0,4682.0,-908.0,-139.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-30,1074000,5459000,0,6533000,41664.0,4709.0,-1496.0,27.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-03-31,-440000,264909,0,-175091,42830.0,4697.0,1166.0,-12.0,,2026-07-24T11:48:44.870146+08:00
2344,2016-04-01,-1820000,24000,0,-1796000,42520.0,4600.0,-310.0,-97.0,,2026-07-24T11:48:44.870146+08:00
