stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
9829,2026-08-20,,,,,0,0,,,,2026-08-22T07:17:24.904104+08:00
9829,2026-08-21,47708144.0,-3226790.0,0.0,44481354.0,7485,0,7485.0,0.0,,2026-08-22T07:17:24.904104+08:00
009829,2026-08-20,,,,,0,0,,,,2026-08-22T14:52:58.816937+08:00
009829,2026-08-21,47708144.0,-3226790.0,0.0,44481354.0,7485,0,7485.0,0.0,,2026-08-22T14:52:58.816937+08:00
