stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
896,2026-09-01,1661196,553000,0,2214196,1650.0,0.0,,,,2026-09-03T19:04:19.535220+08:00
896,2026-09-02,-16929864,-2116900,0,-19046764,1740.0,0.0,90.0,0.0,,2026-09-03T19:04:19.535220+08:00
896,2026-09-03,-14643939,-81960,0,-14725899,,,,,,2026-09-03T19:04:19.535220+08:00
00896,2026-09-01,1661196,553000,0,2214196,1650.0,0.0,,,,2026-09-04T00:58:07.871420+08:00
00896,2026-09-02,-16929864,-2116900,0,-19046764,1740.0,0.0,90.0,0.0,,2026-09-04T00:58:07.871420+08:00
00896,2026-09-03,-14643939,-81960,0,-14725899,1897.0,5.0,157.0,5.0,,2026-09-04T00:58:07.871420+08:00
