stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
4904,2016-01-04,-2000.0,-1257600.0,100000.0,-1159600.0,1488.0,16.0,,,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-05,-7000.0,1778851.0,-85000.0,1686851.0,1511.0,6.0,23.0,-10.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-06,3000.0,1003766.0,-319000.0,687766.0,1417.0,2.0,-94.0,-4.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-07,62000.0,1018526.0,-19000.0,1061526.0,1336.0,6.0,-81.0,4.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-08,-63000.0,1063374.0,100000.0,1100374.0,1279.0,15.0,-57.0,9.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-11,-33000.0,-1008665.0,0.0,-1041665.0,1253.0,35.0,-26.0,20.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-12,-77000.0,15000.0,0.0,-62000.0,1249.0,32.0,-4.0,-3.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-13,-5000.0,735590.0,0.0,730590.0,1118.0,33.0,-131.0,1.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-14,-16000.0,663291.0,0.0,647291.0,1042.0,52.0,-76.0,19.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-15,-166000.0,-3671436.0,-19000.0,-3856436.0,1058.0,42.0,16.0,-10.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-18,1000.0,969127.0,0.0,970127.0,1104.0,2.0,46.0,-40.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-19,6000.0,1314022.0,-5000.0,1315022.0,907.0,3.0,-197.0,1.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-20,-159000.0,-591470.0,-19000.0,-769470.0,916.0,3.0,9.0,0.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-21,-22000.0,-598423.0,-21000.0,-641423.0,914.0,4.0,-2.0,1.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-22,-50000.0,248592.0,-100000.0,98592.0,900.0,6.0,-14.0,2.0,,2026-07-24T11:49:10.201757+08:00
4904,2016-01-25,4000.0,3212000.0,-100000.0,3116000.0,825.0,6.0,-75.0,0.0,,2026-07-24T11:49:10.201757+08:00
