stock_id,trade_date,dealer_net,foreign_net,investment_trust_net,institutional_net,margin_balance,short_balance,margin_change,short_change,securities_lending,updated_at
965,2026-08-03,626948,110000,0,736948,1713.0,42.0,,,,2026-08-05T03:10:54.065120+08:00
965,2026-08-04,1408465,2636000,0,4044465,1761.0,43.0,48.0,1.0,,2026-08-05T03:10:54.065120+08:00
00965,2026-08-03,626948,110000,0,736948,1713.0,42.0,,,,2026-08-05T16:09:36.616977+08:00
00965,2026-08-04,1408465,2636000,0,4044465,1761.0,43.0,48.0,1.0,,2026-08-05T16:09:36.616977+08:00
