stock_id,trade_date,adjusted_close,close,high,low,open,volume,updated_at
6669.TW,2024-07-22,2038.2855224609375,2160.0,2220.0,2115.0,2215.0,1652248,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-07-23,2047.7220458984375,2170.0,2205.0,2130.0,2200.0,1926383,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-07-26,1863.7100830078125,1975.0,2025.0,1955.0,2000.0,3936931,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-07-29,1792.936279296875,1900.0,2050.0,1900.0,2030.0,2318936,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-07-30,1877.8648681640625,1990.0,2020.0,1935.0,1945.0,3501003,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-07-31,1915.61083984375,2030.0,2070.0,1965.0,1980.0,3513319,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-01,2014.6942138671875,2135.0,2205.0,2115.0,2150.0,3499530,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-02,1873.1466064453125,1985.0,2095.0,1945.0,2045.0,2570442,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-05,1689.134765625,1790.0,1855.0,1790.0,1850.0,2014552,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-06,1674.97998046875,1775.0,1865.0,1655.0,1845.0,3642109,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-07,1840.1187744140625,1950.0,1950.0,1730.0,1765.0,2783926,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-08,1797.654541015625,1905.0,1930.0,1810.0,1880.0,2470124,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-09,1769.3450927734375,1875.0,1980.0,1865.0,1970.0,3949628,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-12,1854.273681640625,1965.0,1995.0,1890.0,1910.0,1621550,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-13,1840.1187744140625,1950.0,1990.0,1930.0,1990.0,1299623,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-14,1849.555419921875,1960.0,2025.0,1945.0,2020.0,1571094,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-15,1816.527587890625,1925.0,2015.0,1925.0,1980.0,1628203,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-16,1910.892578125,2025.0,2045.0,1965.0,1965.0,2343247,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-19,1821.245849609375,1930.0,2030.0,1915.0,2010.0,2774298,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-20,1830.682373046875,1940.0,1995.0,1935.0,1960.0,1647310,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-21,1783.4998779296875,1890.0,1935.0,1890.0,1910.0,1085283,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-22,1759.908447265625,1865.0,1900.0,1855.0,1890.0,1650812,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-23,1807.0911865234375,1915.0,1925.0,1820.0,1845.0,1575383,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-26,1802.3729248046875,1910.0,1975.0,1890.0,1920.0,1403530,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-27,1797.654541015625,1905.0,1920.0,1880.0,1900.0,714471,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-28,1816.527587890625,1925.0,1935.0,1885.0,1905.0,784735,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-29,1797.654541015625,1905.0,1920.0,1830.0,1860.0,1594882,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-08-30,1792.936279296875,1900.0,1920.0,1870.0,1910.0,1244642,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-02,1750.4720458984375,1855.0,1930.0,1855.0,1925.0,766618,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-03,1736.3172607421875,1840.0,1895.0,1840.0,1860.0,803536,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-04,1580.614990234375,1675.0,1725.0,1665.0,1715.0,2801229,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-05,1566.460205078125,1660.0,1700.0,1660.0,1700.0,1208312,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-06,1618.3609619140625,1715.0,1740.0,1655.0,1665.0,1403231,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-09,1618.3609619140625,1715.0,1735.0,1660.0,1665.0,1117310,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-10,1580.614990234375,1675.0,1760.0,1655.0,1725.0,1313416,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-11,1557.0235595703125,1650.0,1690.0,1635.0,1690.0,2378082,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-12,1712.7259521484375,1815.0,1815.0,1740.0,1760.0,2794204,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-13,1679.6982421875,1780.0,1845.0,1780.0,1830.0,2558894,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-16,1717.4442138671875,1820.0,1820.0,1780.0,1800.0,1039387,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-18,1618.3609619140625,1715.0,1790.0,1705.0,1790.0,2503779,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-19,1717.4442138671875,1820.0,1830.0,1725.0,1740.0,1797894,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-20,1670.26171875,1770.0,1870.0,1770.0,1850.0,1373367,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-23,1674.97998046875,1775.0,1815.0,1770.0,1805.0,971560,2026-07-22T20:14:55.871320+08:00
6669.TW,2024-09-24,1693.85302734375,1795.0,1805.0,1765.0,1780.0,1684228,2026-07-22T20:14:55.871320+08:00
