stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
3665,112年,2024-07-29,2024-07-08 17:03:27,8.7807351,0.0,0.0,2024-07-23,,2024-08-16,2026-08-31T01:15:36.074306+08:00
3665,113年,2025-07-25,2025-07-02 17:37:32,10.50548249,0.098836074,0.0098836074,2025-07-17,2025-07-17,2025-08-22,2026-08-31T01:15:36.074306+08:00
3665,114年,2026-07-21,2026-06-30 17:08:09,15.18493889,0.0,0.0,2026-07-15,,2026-08-18,2026-08-31T01:15:36.074306+08:00
3665,114年,,2026-06-30 17:08:09,15.18493889,0.0,0.0,,,,2026-07-26T22:43:23.506796+08:00
