stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
00962,114,2025-07-21,,0.025,0.0,0.0,2025-07-15,,2025-08-04,2026-09-15T09:08:27.807715+08:00
00962,114,2025-08-23,,0.025,0.0,0.0,2025-08-15,,2025-09-04,2026-09-15T09:08:27.807715+08:00
00962,114,2025-09-22,,0.025,0.0,0.0,2025-09-16,,2025-10-08,2026-09-15T09:08:27.807715+08:00
00962,114,2025-10-25,,0.025,0.0,0.0,2025-10-17,,2025-11-07,2026-09-15T09:08:27.807715+08:00
00962,114,2025-11-23,,0.025,0.0,0.0,2025-11-17,,2025-12-05,2026-09-15T09:08:27.807715+08:00
00962,114,2025-12-21,,0.025,0.0,0.0,2025-12-15,,2026-01-06,2026-09-15T09:08:27.807715+08:00
00962,115,2026-01-24,,0.03,0.0,0.0,2026-01-16,,2026-02-05,2026-09-15T09:08:27.807715+08:00
00962,115,2026-03-03,,0.03,0.0,0.0,2026-02-25,,2026-03-18,2026-09-15T09:08:27.807715+08:00
00962,115,2026-03-22,,0.05,0.0,0.0,2026-03-16,,2026-04-07,2026-09-15T09:08:27.807715+08:00
00962,115,2026-04-25,,0.05,0.0,0.0,2026-04-17,,2026-05-08,2026-09-15T09:08:27.807715+08:00
00962,115,2026-05-24,,0.05,0.0,0.0,2026-05-18,,2026-06-05,2026-09-15T09:08:27.807715+08:00
00962,115,2026-06-12,,0.08,0.0,0.0,2026-06-15,,2026-07-06,2026-09-15T09:08:27.807715+08:00
00962,115,2026-06-21,,0.08,0.0,0.0,2026-06-15,,2026-07-06,2026-09-15T09:08:27.807715+08:00
00962,115,2026-07-21,,0.08,0.0,0.0,2026-07-15,,2026-08-04,2026-09-15T09:08:27.807715+08:00
00962,115,2026-08-23,,0.16,0.0,0.0,2026-08-17,,2026-09-04,2026-09-15T09:08:27.807715+08:00
00962,115,2026-09-21,,0.25,0.0,0.0,2026-09-15,,2026-10-07,2026-09-15T09:08:27.807715+08:00
