stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
0052,113,2024-04-24,,6.43,0.0,0.0,2024-04-18,,2024-05-15,2026-08-23T07:15:28.222597+08:00
0052,114,2025-04-29,,3.23,0.0,0.0,2025-04-23,,2025-05-19,2026-08-23T07:15:28.222597+08:00
0052,115,2026-04-26,,1.199,0.0,0.0,2026-04-20,,2026-05-15,2026-08-23T07:15:28.222597+08:00
0052,115,,,1.199,0.0,0.0,,,,2026-07-26T22:43:17.045324+08:00
