stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
2317,112年,2024-07-08 00:00:00,2024-06-05 16:32:08,5.4,0.0,0.0,2024-07-02 00:00:00,,2024-07-31 00:00:00,2026-08-08T16:10:21.777438+08:00
2317,113年,2025-07-08 00:00:00,2025-06-17 17:36:20,5.79998376,0.0,0.0,2025-07-02 00:00:00,,2025-07-31 00:00:00,2026-08-08T16:10:21.777438+08:00
2317,114年,2026-07-08 00:00:00,2026-06-16 14:59:28,7.17179227,0.0,0.0,2026-07-02 00:00:00,,2026-07-31 00:00:00,2026-08-08T16:10:21.777438+08:00
2317,112年,2024-07-08,2024-06-05 16:32:08,5.4,0.0,0.0,2024-07-02,,2024-07-31,2026-07-26T22:43:19.885402+08:00
2317,112年,2024-07-08 00:00:00,2024-06-05 16:32:08,5.4,0.0,0.0,2024-07-02 00:00:00,,2024-07-31 00:00:00,2026-07-27T00:33:28.406882+08:00
2317,113年,2025-07-08,2025-06-17 17:36:20,5.79998376,0.0,0.0,2025-07-02,,2025-07-31,2026-07-26T22:43:19.885402+08:00
2317,113年,2025-07-08 00:00:00,2025-06-17 17:36:20,5.79998376,0.0,0.0,2025-07-02 00:00:00,,2025-07-31 00:00:00,2026-07-27T00:33:28.406882+08:00
2317,114年,2026-07-08,2026-06-16 14:59:28,7.17179227,0.0,0.0,2026-07-02,,2026-07-31,2026-07-26T22:43:19.885402+08:00
2317,114年,2026-07-08 00:00:00,2026-06-16 14:59:28,7.17179227,0.0,0.0,2026-07-02 00:00:00,,2026-07-31 00:00:00,2026-07-27T00:33:28.406882+08:00
