stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
8046,112年,2024-07-22,2024-06-21 16:45:45,5.5,0.0,0.0,2024-07-16,,2024-08-14,2026-08-15T07:52:50.005606+08:00
8046,113年,2025-07-09,2025-06-16 15:24:10,1.0,0.0,0.0,2025-07-03,,2025-08-06,2026-08-15T07:52:50.005606+08:00
8046,114年,2026-07-01,2026-06-09 11:32:30,2.0,0.0,0.0,2026-06-25,,2026-07-30,2026-08-15T07:52:50.005606+08:00
8046,114年,,2026-06-09 11:32:30,2.0,0.0,0.0,,,,2026-07-26T22:43:24.373981+08:00
