stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
2308,112年,2024-06-24,2024-06-03 17:45:34,6.43,0.0,0.0,2024-06-18,,2024-07-18,2026-08-23T07:15:33.762368+08:00
2308,113年,2025-06-23,2025-06-02 17:20:42,7.0,0.0,0.0,2025-06-17,,2025-07-23,2026-08-23T07:15:33.762368+08:00
2308,114年,2026-06-23,2026-05-29 17:17:24,11.6,0.0,0.0,2026-06-17,,2026-07-22,2026-08-23T07:15:33.762368+08:00
2308,114年,,2026-05-29 17:17:24,11.6,0.0,0.0,,,,2026-07-26T22:43:19.785045+08:00
