stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
0918,113,2024-03-24,,0.7,0.0,0.0,2024-03-18,,2024-04-15,2026-07-27T00:33:25.980851+08:00
00918,113,2024-03-24,,0.7,0.0,0.0,2024-03-18,,2024-04-15,2026-09-02T08:45:31.091811+08:00
0918,113,2024-06-25,,0.8,0.0,0.0,2024-06-19,,2024-07-15,2026-07-27T00:33:25.980851+08:00
00918,113,2024-06-25,,0.8,0.0,0.0,2024-06-19,,2024-07-15,2026-09-02T08:45:31.091811+08:00
0918,113,2024-09-25,,0.78,0.0,0.0,2024-09-19,,2024-10-15,2026-07-27T00:33:25.980851+08:00
00918,113,2024-09-25,,0.78,0.0,0.0,2024-09-19,,2024-10-15,2026-09-02T08:45:31.091811+08:00
0918,113,2024-12-25,,0.84,0.0,0.0,2024-12-19,,2025-01-13,2026-07-27T00:33:25.980851+08:00
00918,113,2024-12-25,,0.84,0.0,0.0,2024-12-19,,2025-01-13,2026-09-02T08:45:31.091811+08:00
0918,114,2025-03-26,,0.7,0.0,0.0,2025-03-20,,2025-04-15,2026-07-27T00:33:25.980851+08:00
00918,114,2025-03-26,,0.7,0.0,0.0,2025-03-20,,2025-04-15,2026-09-02T08:45:31.091811+08:00
0918,114,2025-06-25,,0.7,0.0,0.0,2025-06-19,,2025-07-11,2026-07-27T00:33:25.980851+08:00
00918,114,2025-06-25,,0.7,0.0,0.0,2025-06-19,,2025-07-11,2026-09-02T08:45:31.091811+08:00
0918,114,2025-09-24,,0.52,0.0,0.0,2025-09-18,,2025-10-15,2026-07-27T00:33:25.980851+08:00
00918,114,2025-09-24,,0.52,0.0,0.0,2025-09-18,,2025-10-15,2026-09-02T08:45:31.091811+08:00
0918,114,2025-12-24,,0.565,0.0,0.0,2025-12-18,,2026-01-13,2026-07-27T00:33:25.980851+08:00
00918,114,2025-12-24,,0.565,0.0,0.0,2025-12-18,,2026-01-13,2026-09-02T08:45:31.091811+08:00
0918,115,2026-03-25,,0.62,0.0,0.0,2026-03-19,,2026-04-14,2026-07-27T00:33:25.980851+08:00
00918,115,2026-03-25,,0.62,0.0,0.0,2026-03-19,,2026-04-14,2026-09-02T08:45:31.091811+08:00
0918,115,2026-06-27,,1.26,0.0,0.0,2026-06-18,,2026-07-13,2026-07-27T00:33:25.980851+08:00
00918,115,2026-06-27,,1.26,0.0,0.0,2026-06-18,,2026-07-13,2026-09-02T08:45:31.091811+08:00
0918,113,,,0.8,0.0,0.0,,,,2026-07-26T22:43:18.395113+08:00
