stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
00922,113,2024-03-24 00:00:00,,0.38,0.0,0.0,2024-03-18 00:00:00,,2024-04-15 00:00:00,2026-07-27T23:59:23.369175+08:00
00922,113,2024-10-25 00:00:00,,1.0,0.0,0.0,2024-10-17 00:00:00,,2024-11-12 00:00:00,2026-07-27T23:59:23.369175+08:00
00922,114,2025-03-24 00:00:00,,0.63,0.0,0.0,2025-03-18 00:00:00,,2025-04-15 00:00:00,2026-07-27T23:59:23.369175+08:00
00922,114,2025-10-26 00:00:00,,1.25,0.0,0.0,2025-10-20 00:00:00,,2025-11-13 00:00:00,2026-07-27T23:59:23.369175+08:00
00922,115,2026-03-23 00:00:00,,2.0,0.0,0.0,2026-03-17 00:00:00,,2026-04-14 00:00:00,2026-07-27T23:59:23.369175+08:00
922,113,2024-03-24,,0.38,0.0,0.0,2024-03-18,,2024-04-15,2026-07-26T22:43:18.609961+08:00
922,113,2024-03-24 00:00:00,,0.38,0.0,0.0,2024-03-18 00:00:00,,2024-04-15 00:00:00,2026-07-27T00:33:26.292280+08:00
922,113,2024-10-25,,1.0,0.0,0.0,2024-10-17,,2024-11-12,2026-07-26T22:43:18.609961+08:00
922,113,2024-10-25 00:00:00,,1.0,0.0,0.0,2024-10-17 00:00:00,,2024-11-12 00:00:00,2026-07-27T00:33:26.292280+08:00
922,114,2025-03-24,,0.63,0.0,0.0,2025-03-18,,2025-04-15,2026-07-26T22:43:18.609961+08:00
922,114,2025-03-24 00:00:00,,0.63,0.0,0.0,2025-03-18 00:00:00,,2025-04-15 00:00:00,2026-07-27T00:33:26.292280+08:00
922,114,2025-10-26,,1.25,0.0,0.0,2025-10-20,,2025-11-13,2026-07-26T22:43:18.609961+08:00
922,114,2025-10-26 00:00:00,,1.25,0.0,0.0,2025-10-20 00:00:00,,2025-11-13 00:00:00,2026-07-27T00:33:26.292280+08:00
922,115,2026-03-23,,2.0,0.0,0.0,2026-03-17,,2026-04-14,2026-07-26T22:43:18.609961+08:00
922,115,2026-03-23 00:00:00,,2.0,0.0,0.0,2026-03-17 00:00:00,,2026-04-14 00:00:00,2026-07-27T00:33:26.292280+08:00
