stock_id,year,record_date,announcement_datetime,cash_dividend,stock_dividend_value,stock_dividend_rate,cash_ex_dividend_date,stock_ex_right_date,cash_payment_date,updated_at
2454,112年前半年度,2024-01-11,2023-12-19 17:21:10,24.6,0.0,0.0,2024-01-04,,2024-01-31,2026-08-29T06:56:22.982721+08:00
2454,112年後半年度,2024-07-11,2024-06-19 17:36:44,30.40530874,0.0,0.0,2024-07-04,,2024-07-31,2026-08-29T06:56:22.982721+08:00
2454,113年前半年度,2025-01-08,2024-12-17 16:08:08,29.0,0.0,0.0,2025-01-02,,2025-01-24,2026-08-29T06:56:22.982721+08:00
2454,113年後半年度,2025-07-11,2025-06-18 17:45:13,25.00021747,0.0,0.0,2025-07-03,,2025-07-31,2026-08-29T06:56:22.982721+08:00
2454,114年前半年度,2026-01-12,2025-12-18 17:22:29,29.0,0.0,0.0,2026-01-06,,2026-01-30,2026-08-29T06:56:22.982721+08:00
2454,114年後半年度,2026-07-13,2026-06-23 17:51:17,24.50021529,0.0,0.0,2026-07-07,,2026-07-31,2026-08-29T06:56:22.982721+08:00
2454,113年後半年度,,2025-06-18 17:45:13,25.00021747,0.0,0.0,,,,2026-07-26T22:43:21.300398+08:00
