stock_id,report_period,announcement_datetime,effective_trade_date,revenue,revenue_yoy,revenue_mom,gross_margin,operating_margin,eps,roe,debt_ratio,free_cash_flow,pe_ratio,pb_ratio,dividend_yield,updated_at
2887,2026-07-01,2026-07-28T00:00:00,2026-07-29,17736690000.0,1.9840662512309049,0.1949150178725007,,,,,,,17.13,1.53,3.15,2026-07-28T02:18:17.418187+08:00
2890,2026-07-01,2026-07-27T00:00:00,2026-07-28,9682886000.0,0.5094266620919312,-0.0295242387769315,,,,,,,18.95,2.16,3.28,2026-07-27T23:59:14.016393+08:00
2890,2026-07-01,2026-07-28T00:00:00,2026-07-29,9682886000.0,0.5094266620919312,-0.0295242387769315,,,,,,,18.95,2.16,3.28,2026-07-28T02:18:17.695234+08:00
2891,2026-07-01,2026-07-27T00:00:00,2026-07-28,19828138000.0,-0.2626932325801797,0.0317526054720076,,,,,,,15.18,2.25,3.97,2026-07-27T23:59:14.284466+08:00
2891,2026-07-01,2026-07-28T00:00:00,2026-07-29,19828138000.0,-0.2626932325801797,0.0317526054720076,,,,,,,15.18,2.25,3.97,2026-07-28T02:18:17.980910+08:00
2892,2026-07-01,2026-07-27T00:00:00,2026-07-28,7231164000.0,0.0489531305122825,-0.0101550233732812,,,,,,,17.85,1.68,3.74,2026-07-27T23:59:15.316541+08:00
2892,2026-07-01,2026-07-28T00:00:00,2026-07-29,7231164000.0,0.0489531305122825,-0.0101550233732812,,,,,,,17.85,1.68,3.74,2026-07-28T02:18:18.290688+08:00
3008,2026-07-01,2026-07-27T00:00:00,2026-07-28,3712024000.0,-0.1046449139239358,-0.1917540283027967,,,,,,,25.53,2.9,1.96,2026-07-27T23:59:15.638311+08:00
3008,2026-07-01,2026-07-28T00:00:00,2026-07-29,3712024000.0,-0.1046449139239358,-0.1917540283027967,,,,,,,25.53,2.9,1.96,2026-07-28T02:18:18.800545+08:00
3017,2026-07-01,2026-07-27T00:00:00,2026-07-28,17618119000.0,0.6611083679678091,0.1100547803104401,,,,,,,39.43,20.86,0.88,2026-07-27T23:59:15.939899+08:00
3017,2026-07-01,2026-07-28T00:00:00,2026-07-29,17618119000.0,0.6611083679678091,0.1100547803104401,,,,,,,39.43,20.86,0.88,2026-07-28T02:18:19.190803+08:00
3037,2026-07-01,2026-07-27T00:00:00,2026-07-28,14897030000.0,0.3631065260526493,0.0595347515958957,,,,,,,124.71,11.88,0.23,2026-07-27T23:59:16.227337+08:00
3037,2026-07-01,2026-07-28T00:00:00,2026-07-29,14897030000.0,0.3631065260526493,0.0595347515958957,,,,,,,124.71,11.88,0.23,2026-07-28T02:18:19.469343+08:00
3045,2026-07-01,2026-07-27T00:00:00,2026-07-28,17322389000.0,0.0656864482757793,0.0536295237855994,,,,,,,23.02,3.78,4.18,2026-07-27T23:59:16.535706+08:00
3045,2026-07-01,2026-07-28T00:00:00,2026-07-29,17322389000.0,0.0656864482757793,0.0536295237855994,,,,,,,23.02,3.78,4.18,2026-07-28T02:18:20.761527+08:00
3231,2026-07-01,2026-07-27T00:00:00,2026-07-28,321821969000.0,0.5384760848458394,0.109029290644883,,,,,,,17.75,2.96,3.11,2026-07-27T23:59:16.795729+08:00
3231,2026-07-01,2026-07-28T00:00:00,2026-07-29,321821969000.0,0.5384760848458394,0.109029290644883,,,,,,,17.75,2.96,3.11,2026-07-28T02:18:21.093046+08:00
3443,2026-07-01,2026-07-27T00:00:00,2026-07-28,4928512000.0,1.0371897307865594,0.0544500099700213,,,,,,,121.84,37.21,0.49,2026-07-27T23:59:17.092212+08:00
3443,2026-07-01,2026-07-28T00:00:00,2026-07-29,4928512000.0,1.0371897307865594,0.0544500099700213,,,,,,,121.84,37.21,0.49,2026-07-28T02:18:21.560176+08:00
3653,2026-07-01,2026-07-27T00:00:00,2026-07-28,2649918000.0,0.5764322627738094,0.1454404225033705,,,,,,,97.51,24.42,0.62,2026-07-27T23:59:17.379250+08:00
3653,2026-07-01,2026-07-28T00:00:00,2026-07-29,2649918000.0,0.5764322627738094,0.1454404225033705,,,,,,,97.51,24.42,0.62,2026-07-28T02:18:21.860271+08:00
3661,2026-07-01,2026-07-27T00:00:00,2026-07-28,3572404000.0,0.1539376414398945,0.8461101194874885,,,,,,,50.71,6.54,0.99,2026-07-27T23:59:17.670357+08:00
3661,2026-07-01,2026-07-28T00:00:00,2026-07-29,3572404000.0,0.1539376414398945,0.8461101194874885,,,,,,,50.71,6.54,0.99,2026-07-28T02:18:22.135100+08:00
3665,2026-07-01,2026-07-27T00:00:00,2026-07-28,8518109000.0,0.6378988169130213,0.1585920579925166,,,,,,,43.39,8.99,0.71,2026-07-27T23:59:17.952917+08:00
3665,2026-07-01,2026-07-28T00:00:00,2026-07-29,8518109000.0,0.6378988169130213,0.1585920579925166,,,,,,,43.39,8.99,0.71,2026-07-28T02:18:22.414074+08:00
3711,2026-07-01,2026-07-27T00:00:00,2026-07-28,65783102000.0,0.3286127995526635,0.0436243768434001,,,,,,,56.45,7.61,1.08,2026-07-27T23:59:18.209124+08:00
3711,2026-07-01,2026-07-28T00:00:00,2026-07-29,65783102000.0,0.3286127995526635,0.0436243768434001,,,,,,,56.45,7.61,1.08,2026-07-28T02:18:22.684227+08:00
4904,2026-07-01,2026-07-27T00:00:00,2026-07-28,9622202000.0,0.1589989889385492,0.0126514577791509,,,,,,,27.28,4.04,3.54,2026-07-27T23:59:18.656927+08:00
4904,2026-07-01,2026-07-28T00:00:00,2026-07-29,9622202000.0,0.1589989889385492,0.0126514577791509,,,,,,,27.28,4.04,3.54,2026-07-28T02:18:22.955365+08:00
4958,2026-07-01,2026-07-27T00:00:00,2026-07-28,17033197000.0,0.3283218287004814,0.0513541003971371,,,,,,,66.36,4.0,0.73,2026-07-27T23:59:18.949740+08:00
4958,2026-07-01,2026-07-28T00:00:00,2026-07-29,17033197000.0,0.3283218287004814,0.0513541003971371,,,,,,,66.36,4.0,0.73,2026-07-28T02:18:23.216656+08:00
5880,2026-07-01,2026-07-27T00:00:00,2026-07-28,6519116000.0,-0.1304382158601031,0.0339498751796176,,,,,,,18.54,1.44,4.05,2026-07-27T23:59:19.224466+08:00
5880,2026-07-01,2026-07-28T00:00:00,2026-07-29,6519116000.0,-0.1304382158601031,0.0339498751796176,,,,,,,18.54,1.44,4.05,2026-07-28T02:18:23.541550+08:00
6505,2026-07-01,2026-07-27T00:00:00,2026-07-28,63683339000.0,0.18463351578114,0.1022223535311912,,,,,,,27.92,1.98,1.54,2026-07-27T23:59:19.708190+08:00
6505,2026-07-01,2026-07-28T00:00:00,2026-07-29,63683339000.0,0.18463351578114,0.1022223535311912,,,,,,,27.92,1.98,1.54,2026-07-28T02:18:23.835295+08:00
6669,2026-07-01,2026-07-27T00:00:00,2026-07-28,111371123000.0,0.2979073916228538,0.3250505205366303,,,,,,,19.26,7.62,2.86,2026-07-27T23:59:19.967818+08:00
6669,2026-07-01,2026-07-28T00:00:00,2026-07-29,111371123000.0,0.2979073916228538,0.3250505205366303,,,,,,,19.26,7.62,2.86,2026-07-28T02:18:24.110870+08:00
7769,2026-07-01,2026-07-27T00:00:00,2026-07-28,5301564000.0,,0.2838096880148859,,,,,,,76.24,17.53,1.06,2026-07-27T23:59:20.247631+08:00
7769,2026-07-01,2026-07-28T00:00:00,2026-07-29,5301564000.0,,0.2838096880148859,,,,,,,76.24,17.53,1.06,2026-07-28T02:18:24.386436+08:00
8046,2026-07-01,2026-07-27T00:00:00,2026-07-28,4684331000.0,0.5002538145037134,0.054961312185451,,,,,,,227.75,14.87,0.19,2026-07-27T23:59:20.519494+08:00
8046,2026-07-01,2026-07-28T00:00:00,2026-07-29,4684331000.0,0.5002538145037134,0.054961312185451,,,,,,,227.75,14.87,0.19,2026-07-28T02:18:24.661643+08:00
