ticker,us_trade_date,adjusted_close,close,high,low,open,volume,return_1d,updated_at
^SOX,2024-07-23,5397.89990234375,5397.89990234375,5453.60009765625,5385.9501953125,5407.60986328125,0,,2026-07-24T01:59:27.329851+08:00
^SOX,2024-07-24,5105.64990234375,5105.64990234375,5330.91015625,5098.43017578125,5320.10009765625,0,-0.054141426348626065,2026-07-24T01:59:27.329851+08:00
^SOX,2024-07-25,5005.35986328125,5005.35986328125,5168.08984375,4906.72998046875,5052.2998046875,0,-0.019642952607553776,2026-07-24T01:59:27.329851+08:00
^SOX,2024-07-26,5103.1298828125,5103.1298828125,5147.93994140625,5056.2099609375,5110.6298828125,0,0.01953306499468299,2026-07-24T01:59:27.329851+08:00
^SOX,2024-07-29,5087.6201171875,5087.6201171875,5226.3798828125,5074.2998046875,5156.0,0,-0.0030392653099498013,2026-07-24T01:59:27.329851+08:00
^SOX,2024-07-30,4890.14990234375,4890.14990234375,5119.35009765625,4874.60986328125,5108.009765625,0,-0.03881386783903862,2026-07-24T01:59:27.329851+08:00
^SOX,2024-07-31,5233.18017578125,5233.18017578125,5240.580078125,5088.43994140625,5127.6201171875,0,0.07014718981786072,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-01,4859.58984375,4859.58984375,5201.2900390625,4801.0498046875,5143.83984375,0,-0.07138877689711454,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-02,4607.759765625,4607.759765625,4698.8798828125,4540.68017578125,4644.4599609375,0,-0.05182126192169956,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-05,4519.4501953125,4519.4501953125,4635.1298828125,4290.35009765625,4330.259765625,0,-0.01916540245246956,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-06,4567.56982421875,4567.56982421875,4683.06005859375,4493.669921875,4558.7001953125,0,0.010647230708761724,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-07,4426.27001953125,4426.27001953125,4738.93994140625,4418.56982421875,4709.6201171875,0,-0.030935444913897547,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-08,4730.009765625,4730.009765625,4736.72021484375,4472.35009765625,4552.16015625,0,0.06862205530920518,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-09,4709.4501953125,4709.4501953125,4746.27001953125,4643.85009765625,4702.97021484375,0,-0.004346623227274304,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-12,4743.81982421875,4743.81982421875,4800.169921875,4690.2099609375,4729.27001953125,0,0.007298013033550932,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-13,4942.31005859375,4942.31005859375,4945.7900390625,4788.27978515625,4807.68017578125,0,0.04184185777074467,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-14,4933.35009765625,4933.35009765625,5000.10986328125,4852.35986328125,4981.77978515625,0,-0.001812909516253458,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-15,5173.3798828125,5173.3798828125,5190.169921875,5022.02978515625,5035.580078125,0,0.0486545208438145,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-16,5170.25,5170.25,5186.1201171875,5100.14013671875,5108.72021484375,0,-0.0006049976772242172,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-19,5266.56982421875,5266.56982421875,5266.97998046875,5096.35009765625,5159.5400390625,0,0.018629626075866712,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-20,5196.2998046875,5196.2998046875,5273.27001953125,5159.10009765625,5237.2900390625,0,-0.013342654113899233,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-21,5267.93017578125,5267.93017578125,5288.5400390625,5205.08984375,5232.2998046875,0,0.013784880354503981,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-22,5086.89990234375,5086.89990234375,5315.72021484375,5072.43017578125,5303.830078125,0,-0.03436459242944556,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-23,5228.64990234375,5228.64990234375,5259.27978515625,5149.009765625,5163.06005859375,0,0.027865694769163785,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-26,5097.35009765625,5097.35009765625,5229.10009765625,5079.97021484375,5199.02001953125,0,-0.025111607611870257,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-27,5153.6298828125,5153.6298828125,5171.10009765625,5018.830078125,5063.47021484375,0,0.011040988764363435,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-28,5059.56005859375,5059.56005859375,5163.7099609375,5005.5,5138.60009765625,0,-0.018253119909226623,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-29,5029.25,5029.25,5157.68994140625,5010.0498046875,5068.7099609375,0,-0.0059906510136722435,2026-07-24T01:59:27.329851+08:00
^SOX,2024-08-30,5158.81982421875,5158.81982421875,5176.830078125,5075.3798828125,5154.56982421875,0,0.02576324983223155,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-03,4759.0,4759.0,5058.7099609375,4735.89990234375,5058.7099609375,0,-0.07750218806668607,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-04,4770.85009765625,4770.85009765625,4844.259765625,4695.169921875,4707.02001953125,0,0.002490039431865876,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-05,4742.419921875,4742.419921875,4821.64013671875,4698.0498046875,4708.58984375,0,-0.005959142542587226,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-06,4528.22021484375,4528.22021484375,4701.08984375,4507.68017578125,4698.77978515625,0,-0.04516675253560476,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-09,4625.77978515625,4625.77978515625,4636.6201171875,4547.18017578125,4598.27978515625,0,0.02154479369017759,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-10,4680.669921875,4680.669921875,4684.58984375,4561.93017578125,4624.990234375,0,0.011866137012161326,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-11,4910.169921875,4910.169921875,4918.919921875,4616.58984375,4712.1298828125,0,0.04903144289825634,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-12,4898.43994140625,4898.43994140625,4944.3798828125,4824.2900390625,4878.18017578125,0,-0.002388915384881618,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-13,4980.490234375,4980.490234375,4991.33984375,4929.5498046875,4940.22021484375,0,0.016750290694631742,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-16,4910.43994140625,4910.43994140625,4935.77978515625,4850.35986328125,4905.68994140625,0,-0.014064939327712689,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-17,4912.10009765625,4912.10009765625,4980.85986328125,4874.33984375,4971.39013671875,0,0.00033808706955174017,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-18,4859.2900390625,4859.2900390625,5006.43017578125,4854.8701171875,4935.4501953125,0,-0.010751014340881992,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-19,5066.64990234375,5066.64990234375,5135.89013671875,5005.02001953125,5049.77978515625,0,0.042672872294993835,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-20,5000.06005859375,5000.06005859375,5034.580078125,4928.85009765625,5016.39990234375,0,-0.013142775805211393,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-23,5025.81005859375,5025.81005859375,5043.97021484375,4984.68017578125,5027.3798828125,0,0.005149938140391441,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-24,5091.77978515625,5091.77978515625,5119.7900390625,5009.7001953125,5071.47998046875,0,0.013126187777370735,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-25,5132.52001953125,5132.52001953125,5167.83984375,5078.25,5078.25,0,0.008001177602724896,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-26,5310.5,5310.5,5355.97021484375,5182.509765625,5352.35009765625,0,0.034676918899773757,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-27,5217.22998046875,5217.22998046875,5318.06005859375,5190.72021484375,5318.0400390625,0,-0.017563321632850015,2026-07-24T01:59:27.329851+08:00
^SOX,2024-09-30,5173.06005859375,5173.06005859375,5201.830078125,5101.85986328125,5154.47021484375,0,-0.008466163469955323,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-01,5024.93994140625,5024.93994140625,5188.39990234375,4987.669921875,5178.47998046875,0,-0.02863297845178414,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-02,5099.2001953125,5099.2001953125,5151.02978515625,5008.10986328125,5031.93994140625,0,0.01477833661141581,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-03,5125.2099609375,5125.2099609375,5188.97998046875,5070.58984375,5071.5400390625,0,0.005100753967045568,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-04,5206.83984375,5206.83984375,5237.0400390625,5141.1201171875,5237.0400390625,0,0.015927129509747617,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-07,5196.7998046875,5196.7998046875,5243.3701171875,5162.72021484375,5169.5,0,-0.001928240422941263,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-08,5266.10009765625,5266.10009765625,5282.56005859375,5177.27001953125,5208.830078125,0,0.013335186186360648,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-09,5321.89990234375,5321.89990234375,5327.2001953125,5219.52001953125,5267.64990234375,0,0.010596039507933863,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-10,5293.93994140625,5293.93994140625,5322.06005859375,5224.52978515625,5252.669921875,0,-0.005253755510355673,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-11,5335.93994140625,5335.93994140625,5351.7099609375,5261.22998046875,5261.419921875,0,0.007933599637483413,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-14,5432.2099609375,5432.2099609375,5445.080078125,5376.16015625,5377.8798828125,0,0.018041810925232937,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-15,5145.2099609375,5145.2099609375,5441.9599609375,5112.27978515625,5421.7099609375,0,-0.05283300941307301,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-16,5155.85986328125,5155.85986328125,5206.740234375,5125.9501953125,5193.06005859375,0,0.0020698673960060088,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-17,5204.81005859375,5204.81005859375,5302.18017578125,5204.2998046875,5292.72021484375,0,0.009494089562269048,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-18,5208.6201171875,5208.6201171875,5244.1298828125,5190.22021484375,5238.259765625,0,0.0007320264430128454,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-21,5215.2099609375,5215.2099609375,5222.93017578125,5145.1298828125,5195.18017578125,0,0.001265180336007754,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-22,5190.7099609375,5190.7099609375,5207.72021484375,5152.02001953125,5182.2998046875,0,-0.0046977974393184185,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-23,5131.3701171875,5131.3701171875,5190.64990234375,5061.39990234375,5174.83984375,0,-0.011431932085699259,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-24,5157.60986328125,5157.60986328125,5175.0,5116.41015625,5170.27001953125,0,0.005113594516571673,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-25,5212.830078125,5212.830078125,5287.77001953125,5210.7998046875,5212.3798828125,0,0.010706551349856985,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-28,5211.669921875,5211.669921875,5246.8798828125,5190.02001953125,5199.58984375,0,-0.00022255784911706655,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-29,5332.169921875,5332.169921875,5358.0400390625,5187.81005859375,5211.1201171875,0,0.02312118798894458,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-30,5153.490234375,5153.490234375,5228.52978515625,5151.85009765625,5192.64013671875,0,-0.03350975121159849,2026-07-24T01:59:27.329851+08:00
^SOX,2024-10-31,4946.75,4946.75,5085.56005859375,4911.60986328125,5085.56005859375,0,-0.04011654722773972,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-01,5001.43017578125,5001.43017578125,5054.06005859375,4975.72998046875,4984.990234375,0,0.011053757675494102,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-04,4974.0,4974.0,5051.77001953125,4960.64013671875,4996.9599609375,0,-0.005484466406044608,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-05,5057.830078125,5057.830078125,5059.259765625,4999.16015625,4999.3798828125,0,0.01685365462907118,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-06,5215.56982421875,5215.56982421875,5233.75,5118.72998046875,5163.580078125,0,0.031187237146611757,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-07,5333.990234375,5333.990234375,5337.91015625,5280.31005859375,5294.64990234375,0,0.022705172042057464,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-08,5290.52001953125,5290.52001953125,5333.2900390625,5262.02978515625,5311.85986328125,0,-0.00814966149799179,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-11,5156.39013671875,5156.39013671875,5242.6298828125,5097.7900390625,5240.6298828125,0,-0.025352873123497655,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-12,5108.64013671875,5108.64013671875,5153.33984375,5043.77001953125,5145.68017578125,0,-0.009260354382414016,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-13,5006.2900390625,5006.2900390625,5086.419921875,4999.64990234375,5077.27978515625,0,-0.02003470491503223,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-14,5004.58984375,5004.58984375,5075.81982421875,4992.5400390625,5062.7998046875,0,-0.00033961182816699687,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-15,4833.58984375,4833.58984375,4936.18994140625,4816.52978515625,4914.080078125,0,-0.03416863426151773,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-18,4888.77001953125,4888.77001953125,4896.77001953125,4806.0,4833.4599609375,0,0.011415982233701438,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-19,4919.16015625,4919.16015625,4925.06005859375,4860.72998046875,4874.18017578125,0,0.006216315473490885,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-20,4884.25,4884.25,4902.83984375,4813.2998046875,4902.41015625,0,-0.007096771631971643,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-21,4963.0498046875,4963.0498046875,4989.91015625,4842.16015625,4949.39013671875,0,0.016133450312228126,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-22,4955.7998046875,4955.7998046875,4973.6298828125,4921.56005859375,4956.2998046875,0,-0.0014607953345848745,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-25,4987.919921875,4987.919921875,5031.240234375,4955.10986328125,5001.14990234375,0,0.0064813185466288115,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-26,4927.56005859375,4927.56005859375,5036.27978515625,4892.0498046875,5027.72021484375,0,-0.012101209367162413,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-27,4853.009765625,4853.009765625,4899.47998046875,4770.2998046875,4897.35009765625,0,-0.015129251005014721,2026-07-24T01:59:27.329851+08:00
^SOX,2024-11-29,4926.56005859375,4926.56005859375,4975.60986328125,4887.85986328125,4894.97021484375,0,0.015155603743005841,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-02,5055.31982421875,5055.31982421875,5084.31005859375,4956.41015625,4957.02001953125,0,0.026135835977558974,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-03,5035.85986328125,5035.85986328125,5059.83984375,5014.81982421875,5027.740234375,0,-0.0038494025332032056,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-04,5121.77978515625,5121.77978515625,5143.8798828125,5076.259765625,5140.77001953125,0,0.017061618910701126,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-05,5026.3701171875,5026.3701171875,5114.16015625,5015.169921875,5104.2001953125,0,-0.0186282253378528,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-06,5061.2998046875,5061.2998046875,5073.10009765625,5018.97021484375,5029.60986328125,0,0.006949286798550558,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-09,5018.83984375,5018.83984375,5085.47998046875,4998.56982421875,5023.7099609375,0,-0.008389141638710296,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-10,4894.7001953125,4894.7001953125,5032.669921875,4863.39990234375,5032.64990234375,0,-0.024734729997828442,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-11,5027.7998046875,5027.7998046875,5055.25,4940.06005859375,4968.83984375,0,0.027192596903578448,2026-07-24T01:59:27.329851+08:00
^SOX,2024-12-12,4982.18994140625,4982.18994140625,5005.81005859375,4946.64990234375,4979.080078125,0,-0.00907153527448068,2026-07-24T01:59:27.329851+08:00
